Electricity(kWh),SiteEnergyUse(kBtu),SecondLargestPropertyUseTypeGFA,PropertyGFATotal,State,ENERGYSTARScore,Address,SourceEUIWN(kBtu/sf),NaturalGas(therms),TotalGHGEmissions,DefaultData,SiteEnergyUseWN(kBtu),SecondLargestPropertyUseType,PrimaryPropertyType,SiteEUI(kBtu/sf),Latitude,Neighborhood,ComplianceStatus,TaxParcelIdentificationNumber,GHGEmissionsIntensity,PropertyGFABuilding(s),Longitude,Electricity(kBtu),BuildingType,ZipCode,NumberofFloors,Outlier,City,YearBuilt,ThirdLargestPropertyUseTypeGFA,NaturalGas(kBtu),SiteEUIWN(kBtu/sf),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),CouncilDistrictCode,LargestPropertyUseType,PropertyName,NumberofBuildings,YearsENERGYSTARCertified,ThirdLargestPropertyUseType,SteamUse(kBtu),DataYear
201799.0,841242.0,,28568.0,WA,86.0,1100 VIRGINIA ST,79.8,1527.0,12.91,No,827582.0,,Small- and Mid-Sized Office,29.4,47.61832601,DOWNTOWN,Compliant,660002230,0.35,28568.0,-122.33341322,688567.0,NonResidential,98101,2.0,,SEATTLE,1937,,152704.0,29.0,0.0,Office,28568.0,81.3,7,Office,DENNY CENTER,1.0,,,0.0,2015
246620.0,1392153.0,0.0,23696.0,WA,81.0,13240 AURORA AVE N,138.9,5507.0,35.11,Yes,1477460.0,Parking,Retail Store,58.4,47.72569066,NORTHWEST,Compliant,1926049431,1.33,23696.0,-122.3432661,841501.0,NonResidential,98133,1.0,,SEATTLE,2001,,550686.0,62.0,0.0,"Parking, Retail Store",23829.0,135.1,5,Retail Store,STAPLES,1.0,,,0.0,2015
182198.0,1231546.0,8315.0,27435.0,WA,49.0,3613 S JUNEAU ST,104.3,6099.0,36.72,No,1487513.0,Medical Office,Non-Refrigerated Warehouse,44.9,47.54941353,SOUTHEAST,Compliant,2224049009,1.24,27435.0,-122.2866398,621684.0,NonResidential,98118,1.0,,SEATTLE,1952,,609888.0,54.2,0.0,"Medical Office, Non-Refrigerated Warehouse",19120.0,94.5,2,Non-Refrigerated Warehouse,JUNEAU STREET ASSOC,1.0,,,0.0,2015
444200.0,2539565.0,,83882.0,WA,72.0,2400 11TH AVE E,73.8,10240.0,64.95,No,2876720.0,,K-12 School,30.3,47.64171214,EAST,Compliant,2025049007,0.7,83882.0,-122.3173859,1515673.0,NonResidential,98102,1.0,,SEATTLE,1905,,1023954.0,34.3,0.0,K-12 School,83882.0,69.6,3,K-12 School,SEATTLE PREP - ADELPHIA,1.0,,,0.0,2015
26963.0,91996.0,,22029.0,WA,100.0,6721 51ST AVE S,14.3,0.0,0.64,No,100020.0,,Worship Facility,4.2,47.54179702,SOUTHEAST,Compliant,2724049059,0.01,22029.0,-122.2703046,92000.0,NonResidential,98118,2.0,,SEATTLE,1927,,0.0,4.5,0.0,,,13.1,2,,BRIGHTON PRESBYTERIAN CHURCH,1.0,,,0.0,2015
567886.0,2547582.0,,37448.0,WA,88.0,907 NW BALLARD WAY,177.9,6100.0,45.9,No,2658998.0,,Small- and Mid-Sized Office,68.0,47.66247704,BALLARD,Compliant,2768302930,1.0,37448.0,-122.3695606,1937707.0,NonResidential,98107,2.0,,SEATTLE,1979,,609955.0,71.0,0.0,Office,37448.0,179.6,6,Office,DEPT OF SOCIAL & HEALTH SERVICES,1.0,,,0.0,2015
57601.0,238255.0,,24913.0,WA,100.0,4602 14TH AVE NW,26.5,417.0,3.59,No,238255.0,,Small- and Mid-Sized Office,9.6,47.6624069,BALLARD,Compliant,2768303115,0.11,24913.0,-122.3730847,196542.0,NonResidential,98107,3.0,Low Outlier,SEATTLE,1903,,41721.0,9.6,0.0,Office,24913.0,26.5,6,Office,SALTY DOG POTTERY & THE BOATWRIGHT,1.0,,,0.0,2015
527227.0,1798899.0,,43813.0,WA,76.0,606 12TH AVE S,125.1,0.0,12.54,Yes,1798899.0,,Medical Office,39.8,47.59703102,DOWNTOWN,Compliant,8170100430,0.11,20727.0,-122.3168033,1798974.0,NonResidential,98144,4.0,,SEATTLE,1995,,0.0,39.8,23086.0,Medical Office,45145.0,125.1,3,Medical Office,LESCHI CENTER,1.0,,,0.0,2015
234465.0,799996.0,,21228.0,WA,64.0,1205 E PIKE ST,137.3,0.0,5.58,Yes,928118.0,,Small- and Mid-Sized Office,37.7,47.613922,EAST,Compliant,6003000065,0.1,21228.0,-122.316421,800029.0,NonResidential,98122,2.0,,SEATTLE,1920,,0.0,43.7,0.0,Office,21228.0,118.3,3,Office,EAST PIKE BUILDING,1.0,,,0.0,2015
1156514.25,7226362.5,,88434.0,WA,60.0,405 Olive way,189.0,12764.5293,249.98,False,7456910.0,,Hotel,81.69999695,47.6122,DOWNTOWN,Compliant,0659000030,2.83,88434.0,-122.33798999999999,3946027.0,NonResidential,98101.0,12.0,,Seattle,1927,,1276453.0,84.30000305,0.0,Hotel,88434.0,182.5,7,Hotel,Mayflower park hotel,1.0,,,2003882.0,2016
950425.1875,8387933.0,15064.0,103566.0,WA,61.0,724 Pine street,179.3999939,51450.81641,295.86,False,8664479.0,Parking,Hotel,94.80000305,47.613170000000004,DOWNTOWN,Compliant,0659000220,2.86,88502.0,-122.33393000000001,3242851.0,NonResidential,98101.0,11.0,,Seattle,1996,4622.0,5145082.0,97.90000153,15064.0,"Hotel, Parking, Restaurant",83880.0,176.1000061,7,Hotel,Paramount Hotel,1.0,,Restaurant,0.0,2016
14515435.0,72587024.0,,956110.0,WA,43.0,1900 5th Avenue,244.10000609999997,14938.0,2089.28,False,73937112.0,,Hotel,96.0,47.613929999999996,DOWNTOWN,Compliant,0659000475,2.19,759392.0,-122.3381,49526664.0,NonResidential,98101.0,41.0,,Seattle,1969,,1493800.0,97.69999695,196718.0,Hotel,756493.0,241.89999390000003,7,Hotel,5673-The Westin Seattle,1.0,,,21566554.0,2016
811525.3125,6794584.0,,61320.0,WA,56.0,620 STEWART ST,224.0,18112.13086,286.43,False,6946800.5,,Hotel,110.8000031,47.61412,DOWNTOWN,Compliant,0659000640,4.67,61320.0,-122.33663999999999,2768924.0,NonResidential,98101.0,10.0,,Seattle,1926,,1811213.0,113.3000031,0.0,Hotel,61320.0,216.1999969,7,Hotel,HOTEL MAX,1.0,,,2214446.25,2016
1573448.625,14172606.0,68009.0,175580.0,WA,75.0,401 LENORA ST,215.60000609999997,88039.98438,505.01,False,14656503.0,Parking,Hotel,114.8000031,47.61375,DOWNTOWN,Compliant,0659000970,2.88,113580.0,-122.34047,5368607.0,NonResidential,98121.0,18.0,,Seattle,1980,0.0,8803998.0,118.6999969,62000.0,"Hotel, Parking, Swimming Pool",123445.0,211.39999390000003,7,Hotel,WARWICK SEATTLE HOTEL (ID8),1.0,,Swimming Pool,0.0,2016
823919.875,5758795.0,,83008.0,WA,27.0,1619 9th Avenue,154.6999969,29475.80078,176.14,False,6062767.5,,Hotel,70.80000305,47.6139,DOWNTOWN,Compliant,0660000825,2.12,83008.0,-122.33283,2811215.0,NonResidential,98101.0,11.0,,Seattle,1926,,2947580.0,74.5,0.0,Hotel,81352.0,146.6000061,7,Hotel,Camlin,1.0,,,0.0,2016
2138897.75,13723820.0,,163984.0,WA,43.0,612 2nd Ave,187.1999969,64259.0,392.16,False,14194054.0,,Hotel,83.69999695,47.602940000000004,DOWNTOWN,Compliant,0939000080,2.39,163984.0,-122.33263000000001,7297919.0,NonResidential,98104.0,15.0,,Seattle,1904,,6425900.0,86.59999847,0.0,Hotel,163984.0,180.8999939,7,Hotel,311wh-Pioneer Square,1.0,,,0.0,2016
1813489.875,16016644.0,,153163.0,WA,30.0,1101 4th Avenue,233.0,45918.5,691.26,False,16646930.0,,Hotel,119.59999850000001,47.60695,DOWNTOWN,Compliant,0942000145,4.51,133884.0,-122.33413999999999,6187627.0,NonResidential,98101.0,11.0,,Seattle,1969,,4591850.0,124.3000031,19279.0,Hotel,133884.0,228.1999969,7,Hotel,Hotel Monaco Seattle,1.0,,,5237165.5,2016
5299838.5,26941110.0,,333176.0,WA,36.0,1112 Fourth Avenue,199.3999939,28586.99805,740.97,False,27070114.0,,Hotel,80.0,47.60713,DOWNTOWN,Compliant,0942000165,2.22,272015.0,-122.33323,18083049.0,NonResidential,98101.0,25.0,,Seattle,1998,,2858700.0,80.40000153,61161.0,Hotel,336640.0,199.0,7,Hotel,5679-W Seattle,1.0,,,5999360.5,2016
393610.6875,6596057.5,,65009.0,WA,48.0,400 Spring Street,149.8000031,35967.05078,328.23,False,6358719.5,,Hotel,101.5,47.60699,DOWNTOWN,Compliant,0942000210,5.05,65009.0,-122.33346,1343000.0,NonResidential,98104.0,9.0,,Seattle,1928,,3596705.0,97.80000305,0.0,Hotel,65009.0,153.6000061,7,Hotel,Executive Pacific Plaza,1.0,,,1656352.5,2016
4075083.0,22325364.0,57600.0,315952.0,WA,58.0,1113 6th Ave,180.6999969,40834.39844,648.62,False,22524948.0,Parking,Hotel,75.5,47.608090000000004,DOWNTOWN,Compliant,0942000235,2.05,258352.0,-122.33211999999999,13904183.0,NonResidential,98101.0,33.0,,Seattle,1980,,4083440.0,76.19999695,57600.0,"Hotel, Parking",295511.0,179.8999939,7,Hotel,Crowne Plaza Hotel Seattle,1.0,,,4337738.5,2016
1123203.125,10750010.0,25200.0,92190.0,WA,35.0,1100 5th Avenue,303.89999389999997,20467.93359,511.39,False,11179203.0,Parking,Hotel,159.5,47.60755,DOWNTOWN,Compliant,0942000265,5.55,66990.0,-122.33243999999999,3832369.0,NonResidential,98101.0,11.0,,Seattle,1922,,2046793.0,165.8999939,25200.0,"Hotel, Parking",67390.0,297.39999389999997,7,Hotel,Hotel Vintage Seattle,1.0,,,4870847.5,2016
6220773.0,33556756.0,85000.0,416281.0,WA,31.0,515 Madison Street,232.8000031,123314.75,802.89,False,34351920.0,Parking,Hotel,96.30000305,47.606809999999996,DOWNTOWN,Compliant,0942000430,1.93,331281.0,-122.33078,21225277.0,NonResidential,98104.0,28.0,,Seattle,1983,,12331475.0,98.59999847,85000.0,"Hotel, Parking",348329.0,228.5,7,Hotel,Renaissance Seattle Hotel,1.0,,,0.0,2016
1731644.125,10154608.0,,104352.0,WA,39.0,700 3rd Ave,225.5,8153.759765999999,349.32,False,10154608.0,,Hotel,97.30000305,47.60376,DOWNTOWN,Compliant,0942000610,3.35,104352.0,-122.33193999999999,5908370.0,NonResidential,98104.0,10.0,,Seattle,1916,,815376.0,97.30000305,0.0,Hotel,104352.0,225.5,7,Hotel,Arctic Club Seattle,1.0,,,3430862.0,2016
7138872.5,44984468.0,,540360.0,WA,76.0,516 3RD AVE,186.6999969,206266.3125,1265.29,False,47023088.0,,Other,83.69999695,47.60265,DOWNTOWN,Compliant,0942000860,2.34,540360.0,-122.33051,24357833.0,NonResidential,98104.0,10.0,,Seattle,1916,,20626631.0,87.5,0.0,Courthouse,537150.0,182.6999969,7,Courthouse,King County Courthouse,1.0,,,0.0,2016
274605.9063,1539478.5,,56228.0,WA,95.0,5149 S. Graham St.,64.59999847,6025.229004,38.53,True,1713623.5,,K-12 School,26.10000038,47.545759999999994,SOUTHEAST,Error - Correct Default Data,1102000138,0.69,56228.0,-122.26853,936955.0,SPS-District K-12,98118.0,2.0,,Seattle,1961,,602523.0,29.10000038,0.0,K-12 School,58916.0,60.70000076,2,K-12 School,Graham Hill Elementary,1.0,,,0.0,2016
664194.375,3663534.5,30586.0,88592.0,WA,84.0,4242 ROOSEVELT WAY NE,148.5,13973.03027,90.01,False,3673186.75,Parking,Hotel,63.20000076,47.65959,NORTHEAST,Compliant,1142000755,1.02,58006.0,-122.31755,2266231.0,NonResidential,98105.0,6.0,,Seattle,2001,,1397303.0,63.29999924,30586.0,"Hotel, Parking",58006.0,148.0,4,Hotel,WATERTOWN HOTEL,1.0,,,0.0,2016
1644403.75,11061916.0,,171866.0,WA,57.0,1800 Yale Ave,180.6000061,54512.09766,328.63,False,11171407.0,,Hotel,85.80000305,47.61784,DOWNTOWN,Compliant,0660002680,1.91,133585.0,-122.32966,5610706.0,NonResidential,98101.0,10.0,,Seattle,2001,,5451210.0,86.69999695,38281.0,Hotel,128909.0,181.1000061,7,Hotel,Marriott Springhill Suites (33),1.0,,,0.0,2016
687675.625,4456714.5,,68410.0,WA,57.0,2200 5th ave,206.3000031,21103.65039,128.44,False,4557974.0,,Hotel,92.90000153,47.61558,DOWNTOWN,Compliant,0697000170,1.88,52210.0,-122.34186000000001,2346349.0,NonResidential,98121.0,5.0,,Seattle,1978,,2110365.0,95.0,16200.0,Hotel,47994.0,199.6999969,7,Hotel,Hotel Five,1.0,,,0.0,2016
570809.1875,6779173.0,,160645.0,WA,75.0,11051 34th Ave. N.E.,75.69999695,48315.71875,270.18,True,7800349.5,,K-12 School,41.29999924,47.70994,NORTH,Error - Correct Default Data,0752000170,1.68,160645.0,-122.29301000000001,1947601.0,SPS-District K-12,98125.0,2.0,,Seattle,1949,,4831572.0,47.5,0.0,K-12 School,164229.0,68.09999847,5,K-12 School,Jane Addams Middle,1.0,,,0.0,2016
884056.0,6668568.5,,81871.0,WA,29.0,5036 25th Ave NE,164.8999939,36521.69141,215.0,False,6731281.5,,Hotel,81.5,47.66583,NORTHEAST,Compliant,0925049117,2.63,81871.0,-122.29965,3016399.0,NonResidential,98105.0,4.0,,Seattle,1994,,3652169.0,82.19999695,0.0,Hotel,81871.0,162.5,4,Hotel,Silver Cloud University,1.0,,,0.0,2016
44102076.0,448385312.0,639931.0,494835.0,WA,8.0,7755 E MARGINAL WAY S,400.2999878,2979090.0,16870.98,False,471613856.0,Laboratory,Mixed Use Property,221.6999969,47.534929999999996,GREATER DUWAMISH,Compliant,0022000005,34.09,494835.0,-122.31788,150476283.0,Campus,98108.0,3.0,,Seattle,1992,459748.0,297909000.0,233.10000609999997,0.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",757027.0,388.2000122,2,Office,Plant 2 Site,1.0,,Non-Refrigerated Warehouse,0.0,2016
356855.0,1650279.25,,54986.0,WA,97.0,4000 27th Ave. W.,83.19999695,4326.897461,31.47,False,1802471.375,,K-12 School,30.0,47.65671,MAGNOLIA / QUEEN ANNE,Compliant,0369000400,0.57,54986.0,-122.39047,1217589.0,SPS-District K-12,98199.0,2.0,,Seattle,1990,,432690.0,32.79999924,0.0,K-12 School,54986.0,77.80000305,7,K-12 School,Lawton Elementary,1.0,2016,,0.0,2016
468840.5,6399127.5,,175565.0,WA,88.0,3003 N.E. 75th St.,60.40000153,47994.43359,266.05,True,7329817.5,,K-12 School,35.0,47.682520000000004,NORTHEAST,Error - Correct Default Data,0425049022,1.52,175565.0,-122.29498000000001,1599684.0,SPS-District K-12,98115.0,2.0,,Seattle,1950,,4799443.0,40.09999847,0.0,K-12 School,182861.0,55.0,4,K-12 School,Eckstein Middle,1.0,,,0.0,2016
1257791.75,6186461.5,39314.0,94900.0,WA,57.0,5305 Shilshole Ave NW,165.8999939,18948.75977,130.56,False,6536359.5,Non-Refrigerated Warehouse,Small- and Mid-Sized Office,65.19999695,47.66587,BALLARD,Compliant,0467000429,1.38,94900.0,-122.38476000000001,4291585.0,NonResidential,98107.0,2.0,,Seattle,1961,,1894876.0,68.90000153,0.0,"Non-Refrigerated Warehouse, Office",55586.0,163.0,6,Office,SBC52,1.0,,,0.0,2016
462998.0,2951331.25,7849.0,52554.0,WA,83.0,2524 16th Ave S,112.3000031,13715.82031,83.86,False,3150635.5,Other - Education,Small- and Mid-Sized Office,50.09999847,47.58034,GREATER DUWAMISH,Compliant,0570000340,1.6,52554.0,-122.31132,1579749.0,NonResidential,98144.0,2.0,,Seattle,1900,,1371582.0,53.5,0.0,"Office, Other - Education",51029.0,108.6999969,2,Office,El Centro de la Raza,1.0,,,0.0,2016
785386.6875,6994740.5,,175015.0,WA,95.0,8200 Wallingford Ave. N,80.40000153,43150.00781,247.85,False,7886505.5,,K-12 School,40.0,47.68891,NORTHWEST,Compliant,0625049002,1.42,175015.0,-122.33553,2679739.0,NonResidential,98103.0,3.0,,Seattle,1954,,4315001.0,45.09999847,0.0,K-12 School,175015.0,74.0,6,K-12 School,Blanchet High School,1.0,,,0.0,2016
3576906.75,16163194.0,,332210.0,WA,67.0,1301 Sixth Ave,121.8000031,39587.86719,295.33,False,16163194.0,,Hotel,46.40000153,47.60946,DOWNTOWN,Compliant,1975700040,0.89,126240.0,-122.33337,12204406.0,NonResidential,98101.0,24.0,,Seattle,1969,,3958787.0,46.40000153,205970.0,Hotel,348630.0,121.8000031,7,Hotel,Seattle Hilton Hotel,1.0,,,0.0,2016
2794888.75,9536161.0,65676.0,168115.0,WA,78.0,413 Pine Street,176.6000061,0.0,66.48,False,9536161.0,Retail Store,Large Office,56.29999924,47.6113,DOWNTOWN,Compliant,1975700200,0.4,168115.0,-122.33658999999999,9536160.0,NonResidential,98101.0,5.0,,Seattle,1973,493.0,0.0,56.29999924,0.0,"Data Center, Office, Retail Store",103362.0,176.6000061,7,Office,5th and Pine,1.0,2016,Data Center,0.0,2016
1486510.375,5071974.0,4993.0,59400.0,WA,14.0,1520 3rd Ave,412.2000122,0.0,35.36,False,5242479.5,Retail Store,Small- and Mid-Sized Office,85.40000153,47.610479999999995,DOWNTOWN,Compliant,1975700380,0.6,59400.0,-122.33793999999999,5071973.0,NonResidential,98101.0,8.0,,Seattle,1910,,0.0,88.30000305,0.0,"Office, Retail Store",34947.0,398.7000122,7,Office,Gibraltar Tower,1.0,,,0.0,2016
1257344.25,4841347.5,10043.0,98634.0,WA,71.0,1531 7th Ave,167.0,5512.879883,59.19,False,5078816.0,Parking,Hotel,54.59999847,47.61233,DOWNTOWN,Compliant,1976700010,0.6,88591.0,-122.33431999999999,4290059.0,NonResidential,98101.0,20.0,,Seattle,1930,5000.0,551288.0,57.29999924,10043.0,"Hotel, Parking, Restaurant",83591.0,158.6000061,7,Hotel,Roosevelt Hotel,1.0,,Restaurant,0.0,2016
13348631.0,80469216.0,117668.0,994212.0,WA,63.0,1400 6th Avenue,184.5,233249.9219,2451.58,False,82318072.0,Parking,Hotel,80.90000153,47.61087,DOWNTOWN,Compliant,1976700095,2.47,847518.0,-122.33339,45545529.0,NonResidential,98101.0,34.0,,Seattle,1982,0.0,23324992.0,82.80000305,146694.0,"Hotel, Parking, Swimming Pool",994212.0,182.5,7,Hotel,Sheraton Seattle Hotel,1.0,,Swimming Pool,11598686.0,2016
950732.8125,5348309.0,13730.0,71150.0,WA,98.0,86 Pine St,215.89999390000003,21044.08008,134.38,False,5348309.0,Parking,Hotel,93.09999847,47.609970000000004,DOWNTOWN,Compliant,1977200050,1.89,71150.0,-122.34138,3243900.0,NonResidential,98101.0,7.0,,Seattle,1985,9604.0,2104408.0,93.09999847,0.0,"Hotel, Parking, Restaurant, Retail Store",41340.0,215.89999390000003,7,Hotel,Inn at the Market,1.0,,Retail Store,0.0,2016
379121.0938,5401277.5,26450.0,122810.0,WA,99.0,1926 2nd Ave,74.09999847,41077.16016,227.18,False,6088417.5,Other - Entertainment/Public Assembly,Hotel,44.0,47.61155,DOWNTOWN,Compliant,1977201035,1.85,122810.0,-122.34114,1293561.0,NonResidential,98101.0,7.0,,Seattle,1908,8000.0,4107716.0,49.59999847,0.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",88360.0,68.19999695,7,Hotel,Moore Hotel INC,1.0,,Retail Store,0.0,2016
863036.3125,5284343.5,42546.0,113173.0,WA,86.0,618 JOHN ST,172.1000061,23396.62891,144.79,False,5428403.5,Parking,Hotel,74.80000305,47.619859999999996,LAKE UNION,Compliant,1991200730,1.28,70627.0,-122.34413,2944680.0,NonResidential,98109.0,5.0,,Seattle,1959,,2339663.0,76.90000153,42546.0,"Hotel, Parking",70627.0,165.6999969,7,Hotel,QUALITY INN,1.0,,,0.0,2016
995342.5,6715187.0,3000.0,150453.0,WA,84.0,211 Dexter Ave N,129.8000031,33190.77734,199.95,False,6835263.5,Restaurant,Hotel,60.70000076,47.62001,LAKE UNION,Compliant,1991200935,1.33,115718.0,-122.34273999999999,3396109.0,NonResidential,98109.0,7.0,,Seattle,2000,,3319078.0,61.79999924,34735.0,Hotel,107547.0,128.0,7,Hotel,Rainier Hospitality,1.0,2014,,0.0,2016
934483.3125,5827595.5,28300.0,116300.0,WA,80.0,226 Aurora Ave N,147.1000061,26391.38086,162.39,False,5941927.0,Parking,Hotel,65.90000153,47.62025,LAKE UNION,Compliant,1991200940,1.4,88100.0,-122.34313999999999,3188457.0,NonResidential,98109.0,6.0,,Seattle,1997,,2639138.0,67.09999847,28200.0,Hotel,88490.0,144.5,7,Hotel,Sequim Lodging Corp,1.0,,,0.0,2016
1336148.125,6836900.0,,155602.0,WA,81.0,206 Western Ave West,107.59999850000001,22779.61914,152.76,False,6849826.5,,Hotel,43.90000153,47.62023,MAGNOLIA / QUEEN ANNE,Compliant,1992200235,0.98,118858.0,-122.35951000000001,4558937.0,NonResidential,98119.0,6.0,,Seattle,1998,,2277962.0,44.0,36744.0,Hotel,155602.0,107.40000149999999,7,Hotel,Homewood Suites by Hilton Seattle Downtonw,1.0,,,0.0,2016
161743.0938,3234787.75,,56072.0,WA,76.0,1617 Interlaken Drive East,92.69999695,26829.20117,146.34,False,3800842.5,,K-12 School,57.70000076,47.63442,EAST,Compliant,2125049015,2.61,56072.0,-122.30793,551867.0,NonResidential,98136.0,3.0,,Seattle,1911,,2682920.0,67.80000305,0.0,K-12 School,56072.0,81.09999847,3,K-12 School,Seattle Hebrew Academy,1.0,,,0.0,2016
710354.5,5337334.0,44891.0,122942.0,WA,94.0,601 Roy St,138.6999969,29136.039060000003,171.64,False,5387530.0,Parking,Hotel,68.40000153,47.62519,MAGNOLIA / QUEEN ANNE,Compliant,2249000170,1.4,78051.0,-122.34456000000002,2423730.0,NonResidential,98109.0,4.0,,Seattle,1999,,2913604.0,69.0,44891.0,"Hotel, Parking",78051.0,136.6999969,7,Hotel,Comfort Suites Seattle Center,1.0,,,0.0,2016
579786.0,3375211.0,,54984.0,WA,71.0,1700 E. Cherry St,144.5,13969.80957,87.98,False,3630147.25,,Small- and Mid-Sized Office,61.40000153,47.60823,CENTRAL,Compliant,2254501944,1.6,54984.0,-122.30956,1978230.0,NonResidential,98122.0,2.0,,Seattle,1962,,1396981.0,66.0,0.0,Office,54984.0,139.6000061,3,Office,Dept of Social & Health Services,1.0,,,0.0,2016
