Address,SourceEUI(kBtu/sf),SecondLargestPropertyUseType,PrimaryPropertyType,State,NaturalGas(therms),Electricity(kBtu),SiteEUIWN(kBtu/sf),ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),TaxParcelIdentificationNumber,Neighborhood,Outlier,BuildingType,DefaultData,City,PropertyGFABuilding(s),SteamUse(kBtu),PropertyName,ListOfAllPropertyUseTypes,YearBuilt,GHGEmissionsIntensity,CouncilDistrictCode,Longitude,LargestPropertyUseTypeGFA,PropertyGFAParking,SiteEUI(kBtu/sf),Latitude,SourceEUIWN(kBtu/sf),ZipCode,PropertyGFATotal,NumberofFloors,YearsENERGYSTARCertified,NaturalGas(kBtu),LargestPropertyUseType,OSEBuildingID,Electricity(kWh),ENERGYSTARScore,DataYear,ComplianceStatus,ThirdLargestPropertyUseType,NumberofBuildings,SecondLargestPropertyUseTypeGFA
2140 N. Northgate Way,184.6999969,,Hotel,WA,35772.76953,2620548.0,95.69999695,,6211749.5,4468400005,NORTHWEST,,NonResidential,False,Seattle,64893,0.0,Hotel Nexus,Hotel,1968,3.21,5,-122.33216000000002,64893.0,0,95.5,47.70916,185.3999939,98133.0,64893,4.0,,3577277.0,Hotel,241,768038.625,70.0,2016,Compliant,,1.0,
3600 S. Graham St.,146.6999969,,Small- and Mid-Sized Office,WA,0.0,1903455.0,49.09999847,,2001403.875,2224049035,GREATER DUWAMISH,,NonResidential,False,Seattle,41262,0.0,Dept of Social & Health Services (WSDSHS) - COPY FOR MAKENSAY,Office,1982,0.32,2,-122.28718,40738.0,0,46.70000076,47.546929999999996,154.3000031,98118.0,41262,2.0,,0.0,Office,21689,557870.875,84.0,2016,Compliant,,1.0,
8721 Rainier Ave S,391.89999389999997,Fitness Center/Health Club/Gym,Other,WA,80884.15625,4007401.0,231.39999390000003,2110.0,12442613.0,2123700240,SOUTHEAST,,Nonresidential COS,False,Seattle,53775,0.0,Rainier Beach Community Center and Pool,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Technology/Science, Pre-school/Daycare, Swimming Pool",2013,8.51,2,-122.27073999999999,35361.0,0,224.89999390000003,47.52472,398.7000122,98118.0,53775,1.0,,8088416.0,Other - Recreation,49918,1174502.125,,2016,Compliant,Office,1.0,12689.0
4510 22nd Ave NE,107.90000149999999,,Residence Hall,WA,11715.09961,328800.0,79.5,,1667310.5,1321300090,NORTHEAST,,NonResidential,False,Seattle,20960,0.0,Sigma Kappa Corp,Residence Hall/Dormitory,1930,3.08,4,-122.30441,20960.0,0,71.59999847,47.661590000000004,117.59999850000001,98105.0,20960,3.0,,1171510.0,Residence Hall/Dormitory,20160,96365.70313,,2016,Compliant,,1.0,
618 JOHN ST,165.6999969,Parking,Hotel,WA,23396.62891,2944680.0,76.90000153,,5428403.5,1991200730,LAKE UNION,,NonResidential,False,Seattle,70627,0.0,QUALITY INN,"Hotel, Parking",1959,1.28,7,-122.34413,70627.0,42546,74.80000305,47.619859999999996,172.1000061,98109.0,113173,5.0,,2339663.0,Hotel,67,863036.3125,86.0,2016,Compliant,,1.0,42546.0
2400 N. 65th St.,84.5,,K-12 School,WA,12512.7959,894324.0,49.40000153,,2410752.0,9528104870,NORTHWEST,,SPS-District K-12,True,Seattle,42239,0.0,Green Lake Elementary,K-12 School,1970,1.72,6,-122.3285,48799.0,0,44.0,47.6763,91.59999847,98103.0,42239,1.0,,1251280.0,K-12 School,26808,262111.2969,83.0,2016,Error - Correct Default Data,,1.0,
500 1st Avenue S.,148.8999939,Parking,Small- and Mid-Sized Office,WA,688.8800049,3983832.0,50.5,,4269199.5,7666206830,DOWNTOWN,,NonResidential,False,Seattle,81300,0.0,1st && King Street,"Office, Parking",1910,0.33,2,-122.33368999999999,84481.0,13700,48.0,47.5981,157.0,98104.0,95000,6.0,,68888.0,Office,778,1167594.25,83.0,2016,Compliant,,1.0,8474.0
6920 Roosevelt Way NE,38.90000153,,Self-Storage Facility,WA,4248.649902,136609.0,28.0,,630412.625,3658700540,NORTHEAST,,NonResidential,False,Seattle,22522,0.0,Econo Mini Storage,Self-Storage Facility,1947,1.04,4,-122.31715,22522.0,0,24.89999962,47.67923,42.40000153,98115.0,22522,3.0,,424865.0,Self-Storage Facility,25001,40037.80078,,2016,Compliant,,1.0,
1730 Minor Avenue,227.89999390000003,Parking,Large Office,WA,2209.050049,26602310.0,0.0,,0.0,0660002410,DOWNTOWN,,NonResidential,False,Seattle,378769,0.0,Metropolitan Park East,"Office, Parking",1988,0.4,7,-122.32965,367623.0,118744,73.0,47.61695,0.0,98101.0,497513,20.0,2015201320122010,220905.0,Office,372,7796691.0,65.0,2016,Compliant,,1.0,114510.0
309 South Cloverdale Street,99.90000153,,Distribution Center,WA,15228.08984,1240788.0,54.79999924,,3013861.5,3224049012,GREATER DUWAMISH,,NonResidential,False,Seattle,54880,0.0,Cloverdale Business Park Building D,Distribution Center,1979,1.63,1,-122.33063999999999,55000.0,0,50.20000076,47.525490000000005,104.6999969,98108.0,54880,1.0,,1522809.0,Distribution Center,799,363654.1875,32.0,2016,Compliant,,1.0,
4142 42nd Ave. SW,93.09999847,,K-12 School,WA,34122.75781,574940.0,81.5,,4719841.5,0952002500,SOUTHWEST,,NonResidential,False,Seattle,33462,0.0,Holy Rosary School,K-12 School,1922,5.54,1,-122.38502,57896.0,0,68.90000153,47.56542,107.09999850000001,98116.0,33462,2.0,,3412276.0,K-12 School,20415,168505.2031,76.0,2016,Compliant,,1.0,
7047 50th Ave. NE.,80.59999847,,K-12 School,WA,18982.46094,1038090.0,51.70000076,,3370435.5,7974200250,NORTHEAST,,SPS-District K-12,True,Seattle,64314,0.0,View Ridge Elementary,K-12 School,1948,1.68,4,-122.27533000000001,65210.0,0,45.0,47.680690000000006,89.80000305,98115.0,64314,1.0,,1898246.0,K-12 School,24482,304246.6875,86.0,2016,Error - Correct Default Data,,1.0,
2323 Airport Way S,48.59999847,,Refrigerated Warehouse,WA,0.0,642645.0,15.5,,642645.1875,7666203245,GREATER DUWAMISH,,NonResidential,False,Seattle,41550,0.0,Pacific Food Importers,Refrigerated Warehouse,1951,0.11,2,-122.32193000000001,41550.0,0,15.5,47.58252,48.59999847,98134.0,41550,1.0,,0.0,Refrigerated Warehouse,23977,188348.5,94.0,2016,Compliant,,1.0,
1046 1st Ave S,183.0,Parking,Hotel,WA,64945.55078,6232233.0,89.19999695,9216.0,12871628.0,7666206720,GREATER DUWAMISH,,NonResidential,False,Seattle,153882,0.0,Silver Cloud Hotel - Stadium,"Food Service, Hotel, Parking",2005,2.31,2,-122.33372,135006.0,14567,88.19999695,47.592690000000005,182.6999969,98134.0,168449,9.0,,6494555.0,Hotel,250,1826563.0,64.0,2016,Compliant,Food Service,1.0,20600.0
2710 1st Ave S,47.29999924,Office,Warehouse,WA,1974.8696289999998,241070.0,24.60000038,,501439.6875,7666206025,GREATER DUWAMISH,,NonResidential,False,Seattle,20400,0.0,A2A LLC,"Non-Refrigerated Warehouse, Office",1926,0.6,2,-122.3336,15000.0,0,21.5,47.579409999999996,50.59999847,98134.0,20400,2.0,,197487.0,Non-Refrigerated Warehouse,24589,70653.60156,69.0,2016,Compliant,,1.0,5400.0
13733 AURORA AVE N,1080.2,,Other,WA,40801.0,2213351.0,642.0,,6676801.0,164000080,NORTHWEST,,NonResidential,No,SEATTLE,21633,0.0,AURORA CHRYSLER PLYMOUTH,Other,1968,10.29,5,-122.34543246,10400.0,0,605.1,47.72969445,1118.9,98133,21633,1.0,,4080100.0,Other,19780,648669.0,,2015,Compliant,,1.0,
101 S. Dakota,48.70000076,,Warehouse,WA,3949.580322,193898.0,34.40000153,,723060.1875,6172900280,GREATER DUWAMISH,,NonResidential,False,Seattle,22324,0.0,101 S. Dakota,Non-Refrigerated Warehouse,1941,1.0,2,-122.33358,21000.0,0,28.0,47.566829999999996,56.5,98134.0,22324,2.0,,394958.0,Non-Refrigerated Warehouse,26235,56828.30078,53.0,2016,Compliant,,1.0,
1012 S.W. Trenton St.,91.40000153,,K-12 School,WA,4271.419434,1944216.0,34.5,,2470597.75,7972603210,DELRIDGE,,SPS-District K-12,True,Seattle,71714,0.0,Highland Park Elementary,K-12 School,1999,0.51,1,-122.34828,71714.0,0,33.09999847,47.52518,93.90000153,98106.0,71714,1.0,,427142.0,K-12 School,273,569817.125,87.0,2016,Error - Correct Default Data,,1.0,
4741 11TH AVE NE,112.6999969,Automobile Dealership,Other,WA,0.0,1399582.0,35.90000153,,1399581.625,6746701515,NORTHEAST,,NonResidential,False,Seattle,33648,0.0,Audi Seattle UVA Bldg,"Automobile Dealership, Parking",2014,0.29,4,-122.31663999999999,83600.0,0,35.90000153,47.66414,112.6999969,98105.0,33648,3.0,,0.0,Parking,50002,410193.9063,,2016,Compliant,,1.0,39000.0
100 23RD AVE S,131.0,,Small- and Mid-Sized Office,WA,3800.1298829999996,1128549.0,53.5,,1608929.125,3646100005,CENTRAL,,NonResidential,False,Seattle,39953,0.0,RCC,Office,1971,0.7,3,-122.30155,30100.0,0,50.09999847,47.601040000000005,135.8999939,98144.0,39953,2.0,,380013.0,Office,24886,330758.6875,93.0,2016,Compliant,,1.0,
3440 6th Avenue S,105.90000149999999,Office,Warehouse,WA,2519.810303,592096.0,47.70000076,,956406.375,7666203810,GREATER DUWAMISH,,NonResidential,False,Seattle,21755,0.0,Warehouse,"Non-Refrigerated Warehouse, Office",1978,0.8,2,-122.32548999999999,17650.0,0,42.09999847,47.572540000000004,116.09999850000001,98134.0,21755,1.0,,251981.0,Non-Refrigerated Warehouse,24202,173533.2969,,2016,Compliant,,1.0,2400.0
606 12th Ave S,54.90000153,,Small- and Mid-Sized Office,WA,7539.680176000001,514491.0,32.09999847,,1405510.25,8170100415,DOWNTOWN,,NonResidential,False,Seattle,45145,0.0,Pearl Warren Building,Office,1988,0.97,2,-122.31838,43813.0,0,29.0,47.59721,57.79999924,98144.0,45145,1.0,,753968.0,Office,23161,150788.7031,,2016,Compliant,,1.0,
1436 Elliott Ave W,52.5,,Small- and Mid-Sized Office,WA,4401.859863000001,198321.0,36.09999847,,746543.625,7666201815,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,20671,0.0,1430-1448 Elliott Ave W,Office,1940,1.2,7,-122.37387,20671.0,0,30.89999962,47.63128,58.0,98119.0,20671,2.0,,440186.0,Office,23744,58124.60156,98.0,2016,Compliant,,1.0,
1900 25th Ave S,126.90000149999999,,Small- and Mid-Sized Office,WA,10448.38965,1085835.0,63.40000153,,2252219.5,1498303300,SOUTHEAST,,NonResidential,False,Seattle,39170,0.0,American Red Cross,Office,1970,1.61,3,-122.29956999999999,35500.0,0,60.0,47.5859,130.1000061,98144.0,39170,2.0,,1044839.0,Office,20531,318239.9063,81.0,2016,Compliant,,1.0,
524 2nd Ave,143.1999969,Other,Small- and Mid-Sized Office,WA,966.3400268999999,2836654.0,46.59999847,4253.0,2933288.75,0939000025,DOWNTOWN,,NonResidential,False,Seattle,50176,0.0,Collins Building,"Office, Other, Restaurant",1900,0.5,7,-122.33202,50328.0,0,46.59999847,47.602270000000004,143.1999969,98104.0,50176,5.0,,96634.0,Office,382,831375.875,77.0,2016,Compliant,Restaurant,1.0,8329.0
101 Yesler Way,145.8999939,Parking,Small- and Mid-Sized Office,WA,0.0,4307238.0,48.40000153,,4483478.0,5247800440,DOWNTOWN,,NonResidential,False,Seattle,73102,0.0,Olympic Block,"Office, Parking",1985,0.41,7,-122.33379,92723.0,0,46.5,47.60148,151.8000031,98104.0,73102,6.0,,0.0,Office,40067,1262379.25,84.0,2016,Compliant,,1.0,18364.0
363 Mercer St.,25.5,,Other,WA,0.0,875943.0,8.100000381000001,,875943.3125,1988200700,MAGNOLIA / QUEEN ANNE,,Nonresidential COS,False,Seattle,60696,0.0,Mercer Arena,Other,1928,0.1,7,-122.35077,108000.0,0,8.100000381000001,47.62395,25.5,98109.0,60696,1.0,,0.0,Other,111,256724.2969,,2016,Compliant,,1.0,
2033 6th Ave,157.5,Bar/Nightclub,Large Office,WA,13834.32031,7209495.0,68.69999695,8208.0,12019477.0,0659000930,DOWNTOWN,,NonResidential,False,Seattle,169020,2887565.25,ACTIVE VOICE,"Bar/Nightclub, Office, Personal Services (Health/Beauty, Dry Cleaning, etc)",1963,2.05,7,-122.33968999999999,156414.0,0,65.59999847,47.61481,161.1999969,98121.0,169020,11.0,,1383432.0,Office,752,2112982.25,83.0,2016,Compliant,"Personal Services (Health/Beauty, Dry Cleaning, etc)",1.0,10337.0
500 23 Ave E,515.2000122,Fitness Center/Health Club/Gym,Other,WA,26562.09961,2514599.0,261.7000122,0.0,5427452.5,7544800245,CENTRAL,,Nonresidential COS,False,Seattle,21400,0.0,Medgar Evers Pool,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",1968,7.41,3,-122.30242,11737.0,0,249.3000031,47.60668,528.2000122,98122.0,21400,1.0,,2656210.0,Other - Recreation,45287,736986.875,,2016,Compliant,Swimming Pool,0.0,9003.0
720 2nd Ave,123.0,,Small- and Mid-Sized Office,WA,0.0,1968655.0,40.59999847,,2038746.5,0939000240,DOWNTOWN,,NonResidential,False,Seattle,52298,0.0,United Way of King County,Office,1921,0.26,7,-122.33328,50250.0,0,39.20000076,47.60366,127.40000149999999,98104.0,52298,3.0,,0.0,Office,769,576979.6875,89.0,2016,Compliant,,1.0,
1426 WESTERN AVE,156.3999939,Other - Public Services,Senior Care Community,WA,8494.709961,1888063.0,65.19999695,586.0,2842128.0,6598350000,DOWNTOWN,,NonResidential,False,Seattle,41395,0.0,Market Garage,"Office, Other - Public Services, Personal Services (Health/Beauty, Dry Cleaning, etc), Senior Care Community",1989,0.3,7,-122.34213000000001,38800.0,156000,62.79999924,47.608979999999995,158.8999939,98101.0,197395,3.0,,849471.0,Senior Care Community,49945,553359.6875,,2016,Compliant,Office,1.0,3650.0
4630 38th Ave S,168.3999939,Other - Recreation,Mixed Use Property,WA,9184.930664,1215305.0,82.0,1479.0,2326238.0,7950304230,SOUTHEAST,,Nonresidential COS,False,Seattle,28425,0.0,Rainier Community Center,"Fitness Center/Health Club/Gym, Office, Other - Recreation",1995,2.01,2,-122.28143,14081.0,0,75.19999695,47.56214,175.5,98118.0,28425,1.0,,918493.0,Fitness Center/Health Club/Gym,24381,356185.4063,,2016,Compliant,Office,1.0,12824.0
520 N.E. Ravenna Blvd.,74.40000153,,K-12 School,WA,36585.76953,967866.0,57.09999847,,5280739.0,9528103775,NORTHWEST,,SPS-District K-12,True,Seattle,92437,0.0,John Marshall Building,K-12 School,1927,2.17,6,-122.32231999999999,92437.0,0,50.0,47.67725,81.90000153,98115.0,92437,3.0,,3658577.0,K-12 School,292,283665.3125,78.0,2016,Error - Correct Default Data,,1.0,
6100 6th Ave S,49.5,,Warehouse,WA,0.0,485971.0,15.80000019,,485971.0,5367201155,GREATER DUWAMISH,,NonResidential,False,Seattle,30800,0.0,NWCP-SEA Mayn Bldg,Non-Refrigerated Warehouse,1965,0.11,2,-122.3251,30800.0,0,15.80000019,47.54769,49.5,98108.0,30800,1.0,,0.0,Non-Refrigerated Warehouse,28476,142429.9063,65.0,2016,Compliant,,1.0,
200 University Street,192.5,,Other,WA,5273.430176,9803021.0,78.40000153,,14881950.0,1974700025,DOWNTOWN,,Nonresidential COS,False,Seattle,284100,4311136.0,Benaroya Hall,Other - Entertainment/Public Assembly,1998,1.51,7,-122.3367,189750.0,0,77.19999695,47.60804,192.0,98111.0,284100,6.0,,527343.0,Other - Entertainment/Public Assembly,145,2873101.25,,2016,Compliant,,1.0,
1217 6th Ave,107.59999850000001,,Worship Facility,WA,45302.39844,1057107.0,82.69999695,,6207115.5,1975700006,DOWNTOWN,,NonResidential,False,Seattle,40548,0.0,Plymouth Congregational Church,Worship Facility,1968,3.3,7,-122.33265,75058.0,34510,74.40000153,47.608670000000004,116.3000031,98101.0,75058,3.0,,4530240.0,Worship Facility,21313,309820.3125,24.0,2016,Compliant,,1.0,
9401 Myers Way S,109.1999969,,Other,WA,16169.37012,1474450.0,57.79999924,,3347245.25,3124049024,DELRIDGE,,Campus,False,Seattle,57952,0.0,Joint Training Facilities Campus,Adult Education,2005,1.66,1,-122.33421000000001,57952.0,0,53.29999924,47.51885,113.8000031,98108.0,57952,1.0,,1616937.0,Adult Education,23117,432136.6875,,2016,Compliant,,5.0,
1750 Occidental Ave S,28.29999924,,Warehouse,WA,2268.460205,635127.0,11.60000038,,911161.3125,7666206285,GREATER DUWAMISH,,NonResidential,False,Seattle,78814,0.0,Warehouse 1,Non-Refrigerated Warehouse,1954,0.21,2,-122.33263999999998,78814.0,0,10.89999962,47.58781,29.0,98134.0,78814,1.0,,226846.0,Non-Refrigerated Warehouse,626,186145.0,69.0,2016,Compliant,,1.0,
3317 6th Avenue South,15.0,,Distribution Center,WA,0.0,238970.0,4.8000001910000005,,238969.7031,1327300065,GREATER DUWAMISH,,NonResidential,False,Seattle,49950,0.0,3317,Distribution Center,1975,0.03,2,-122.32672,49950.0,0,4.8000001910000005,47.57382,15.0,98134.0,49950,1.0,,0.0,Distribution Center,20626,70038.0,77.0,2016,Compliant,,1.0,
616 NE Northlake Place,471.6000061000001,Parking,Other,WA,115307.4063,14100771.0,215.1999969,,25736450.0,4207401365,NORTHEAST,,NonResidential,False,Seattle,143439,0.0,UW Benjamin Hall IRB,"Other, Parking",2006,4.95,4,-122.32133,119570.0,0,214.39999390000003,47.65529,463.1000061000001,98105.0,143439,6.0,,11530741.0,Other,738,4132699.5,,2016,Compliant,,1.0,23869.0
4005 6th Ave S,81.59999847,Other - Services,Warehouse,WA,15311.85156,2095246.0,40.5,,4060714.75,7886100060,GREATER DUWAMISH,,NonResidential,False,Seattle,100386,0.0,Spear Building,"Non-Refrigerated Warehouse, Other - Services",1963,0.96,2,-122.32732,50628.0,0,36.09999847,47.56845,86.09999847,98108.0,100386,1.0,,1531185.0,Non-Refrigerated Warehouse,24108,614081.5,,2016,Compliant,,1.0,49758.0
3528 Ferdinand St.,84.59999847,,K-12 School,WA,12515.2959,473807.0,58.09999847,,1924436.0,1703400755,SOUTHEAST,,SPS-District K-12,True,Seattle,33105,0.0,Columbia Building,K-12 School,1925,2.11,2,-122.28712,33105.0,0,52.09999847,47.55818,91.5,98118.0,33105,1.0,,1251530.0,K-12 School,20967,138864.7969,79.0,2016,Error - Correct Default Data,,1.0,
800 Fairview Ave. N,184.0,Parking,Hotel,WA,84786.50781,10980652.0,85.59999847,,20194606.0,1984200065,LAKE UNION,,NonResidential,False,Seattle,238097,0.0,Residence Inn Seattle - Lake Union,"Hotel, Parking",1990,1.86,3,-122.33325,235788.0,44766,82.5,47.62642,189.1999969,98109.0,282863,7.0,,8478651.0,Hotel,102,3218245.0,37.0,2016,Compliant,,1.0,51537.0
1414 4th Ave,251.3000031,,Hotel,WA,23989.94922,19800542.0,114.40000149999999,,37984148.0,1975700255,DOWNTOWN,,NonResidential,False,Seattle,272787,15586014.0,Motif Seattle,Hotel,1973,4.42,7,-122.33572,332067.0,59280,113.8000031,47.60996,249.3000031,98101.0,332067,19.0,,2398995.0,Hotel,410,5803207.0,6.0,2016,Compliant,,0.0,
600 University Street,108.6999969,Parking,Large Office,WA,6582.040039,26031451.0,36.09999847,9975.0,27340878.0,1976700155,DOWNTOWN,,NonResidential,False,Seattle,794592,0.0,One Union Square,"Office, Other, Parking",1980,0.27,7,-122.33228999999999,748011.0,0,35.20000076,47.60967,111.40000149999999,98101.0,794592,36.0,20092005,658204.0,Office,423,7629382.0,96.0,2016,Compliant,Other,1.0,36606.0
3801 Latona Av Ne,59.40000153,Retail Store,Warehouse,WA,42.15999603,938199.0,19.0,6200.0,942415.1875,4206900410,LAKE UNION,,NonResidential,False,Seattle,40028,0.0,Dunn Lumber Retail/Offices,"Non-Refrigerated Warehouse, Office, Retail Store",1938,0.17,4,-122.32618000000001,33222.0,0,19.0,47.65429,59.40000153,98105.0,40028,1.0,,4216.0,Non-Refrigerated Warehouse,26759,274970.4063,80.0,2016,Compliant,Office,1.0,10208.0
6701-6797 E Marginal Way S.,67.19999695,Parking,Distribution Center,WA,6932.489745999999,836261.0,35.09999847,,1751500.375,5367204080,GREATER DUWAMISH,,NonResidential,False,Seattle,50065,0.0,Seattle Distribution Center Bldg B,"Distribution Center, Parking",1967,0.85,2,-122.32713999999999,49918.0,0,30.60000038,47.54187,71.90000153,98168.0,50065,1.0,,693249.0,Distribution Center,544,245094.0938,72.0,2016,Compliant,,1.0,0.0
1101 AIRPORT WAY S,24.10000038,,Other,WA,1695.6499019999999,101274.0,15.5,,318703.1875,7666203380,GREATER DUWAMISH,,NonResidential,False,Seattle,20600,0.0,Performance Radiator,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1920,0.47,2,-122.32491,20600.0,0,13.10000038,47.59322,27.0,98134.0,20600,4.0,,169565.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",24085,29681.59961,,2016,Compliant,,1.0,
