NumberofBuildings,Electricity(kWh),ComplianceStatus,ThirdLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,ListOfAllPropertyUseTypes,PropertyGFAParking,BuildingType,SiteEUI(kBtu/sf),TaxParcelIdentificationNumber,SourceEUI(kBtu/sf),TotalGHGEmissions,PrimaryPropertyType,LargestPropertyUseType,State,ThirdLargestPropertyUseType,ZipCode,City,SiteEnergyUse(kBtu),Latitude,SiteEUIWN(kBtu/sf),ENERGYSTARScore,SourceEUIWN(kBtu/sf),SteamUse(kBtu),DefaultData,GHGEmissionsIntensity,Address,Electricity(kBtu),PropertyGFATotal,NaturalGas(kBtu),SecondLargestPropertyUseTypeGFA,PropertyGFABuilding(s),NumberofFloors,LargestPropertyUseTypeGFA,DataYear,Neighborhood,YearBuilt,SiteEnergyUseWN(kBtu),Longitude,NaturalGas(therms),PropertyName,CouncilDistrictCode,YearsENERGYSTARCertified,Outlier,OtherFuelUse(kBtu)
1.0,5585560.0,Compliant,,,Hotel,61161.0,NonResidential,82.3,942000165,207.2,723.4,Hotel,Hotel,WA,,98101,SEATTLE,27717026.0,47.60718204,83.1,32.0,208.0,5426396.0,No,1.93,1112 4TH AVE,19058722.0,333176.0,3232700.0,,272015.0,25.0,336640.0,2015,DOWNTOWN,1998,27970822.0,-122.33347215,32327.0,W SEATTLE HOTEL,7,,,0.0
1.0,473326.0,Compliant,,,Hotel,0.0,NonResidential,104.7,942000210,166.5,334.87,Hotel,Hotel,WA,,98104,SEATTLE,6807227.0,47.60709939,96.8,39.0,158.2,1987163.0,No,5.04,400 SPRING ST,1615057.0,65009.0,3205074.0,,65009.0,9.0,65009.0,2015,DOWNTOWN,1928,6292213.0,-122.33310536,32051.0,EXECUTIVE PACIFIC PLAZA,7,,,0.0
1.0,4129637.0,Compliant,,Parking,"Hotel, Parking",57600.0,NonResidential,77.2,942000235,183.2,675.34,Hotel,Hotel,WA,,98101,SEATTLE,22811690.0,47.60809326,77.2,56.0,183.2,4731090.0,Yes,1.95,1113 6TH AVE,14090906.0,315952.0,3990280.0,57600.0,258352.0,33.0,295511.0,2015,DOWNTOWN,1980,22811690.0,-122.33211517,39903.0,CROWNE PLAZA,7,,,0.0
1.0,1198487.0,Compliant,,,,0.0,NonResidential,166.1,942000265,317.4,486.25,Hotel,,WA,,98101,SEATTLE,10711451.0,47.60761642,175.7,14.0,326.0,4403788.0,No,6.95,1100 5TH AVE,4089407.0,67390.0,2218425.0,,67390.0,11.0,,2015,DOWNTOWN,1922,11329230.0,-122.3323288,22184.0,HOTEL VINTAGE PARK,7,,,0.0
1.0,4732136.0,Compliant,1074.0,Parking,"Data Center, Library, Parking",57000.0,Nonresidential COS,46.0,942000275,140.8,166.84,Other,Library,WA,Data Center,98104,SEATTLE,16849234.0,47.60667501,45.3,,137.6,703184.0,No,0.24,1000 4TH AVE,16146718.0,412000.0,0.0,49000.0,355000.0,11.0,364913.0,2015,DOWNTOWN,2004,16594622.0,-122.33226425,0.0,SEATTLE CENTRAL LIBRARY,7,,,0.0
1.0,1549824.0,Compliant,0.0,Office,"Fitness Center/Health Club/Gym, Office, Swimming Pool",0.0,NonResidential,79.5,942000350,173.7,411.09,Other,Fitness Center/Health Club/Gym,WA,Swimming Pool,98104,SEATTLE,10340282.0,47.60544586,83.4,,178.4,4398022.0,No,3.74,909 4TH AVE,5288219.0,103911.0,654260.0,40000.0,103911.0,6.0,90000.0,2015,DOWNTOWN,1930,10843936.0,-122.33280182,6543.0,DOWNTOWN SEATTLE YMCA,7,,,0.0
1.0,6427712.0,Compliant,,Parking,"Hotel, Parking",85000.0,NonResidential,95.5,942000430,231.9,755.12,Hotel,Hotel,WA,,98104,SEATTLE,33270518.0,47.60656003,97.4,30.0,234.7,0.0,No,1.59,515 MADISON ST,21932264.0,416281.0,11339166.0,85000.0,331281.0,28.0,348329.0,2015,DOWNTOWN,1983,33922016.0,-122.33063632,113392.0,RENAISSANCE MADISON HOTEL,7,,,0.0
1.0,1106043.0,Compliant,9741.0,Restaurant,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",0.0,NonResidential,130.2,942000510,278.7,265.5,Mixed Use Property,Social/Meeting Hall,WA,Office,98104,SEATTLE,7481768.0,47.60552597,140.2,,290.2,1755365.0,No,4.34,810 4TH AVE,3773975.0,57452.0,1952583.0,15505.0,57452.0,5.0,16442.0,2015,DOWNTOWN,1907,8052425.0,-122.33163032,19526.0,RAINIER CLUB (HISTORICAL LANDMARK),7,,,0.0
1.0,524792.0,Compliant,,,,0.0,NonResidential,75.2,942000610,119.5,411.22,Hotel,,WA,,98104,SEATTLE,7845112.0,47.60397899,74.9,83.0,118.6,3205497.0,No,3.87,700 3RD AVE,1790665.0,104352.0,2849024.0,,104352.0,10.0,,2015,DOWNTOWN,1916,7816594.0,-122.3320576,28490.0,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,7,,,0.0
1.0,7853984.0,Compliant,,,Courthouse,0.0,NonResidential,99.3,942000860,208.5,1596.08,Other,Courthouse,WA,,98104,SEATTLE,53332648.0,47.60264587,103.1,67.0,210.4,0.0,No,2.74,516 3RD AVE,26798906.0,540360.0,26534856.0,,540360.0,10.0,537150.0,2015,DOWNTOWN,1916,55378956.0,-122.33052826,265349.0,KING COUNTY COURTHOUSE,7,,,0.0
1.0,5766838.0,Compliant,,,Other,0.0,NonResidential,132.1,942001010,245.5,1795.42,Other,Other,WA,,98104,SEATTLE,50899248.0,47.60355377,136.1,,243.9,0.0,No,4.44,500 5TH AVE,19677268.0,385274.0,31222797.0,,385274.0,19.0,385274.0,2015,DOWNTOWN,1985,52435544.0,-122.32830048,312228.0,KING COUNTY CORRECTIONAL FACILITY,3,,,0.0
1.0,267181.0,Compliant,,,K-12 School,0.0,SPS-District K-12,25.1,1102000138,59.2,35.17,K-12 School,K-12 School,WA,,98118,SEATTLE,1454222.0,47.54570136,29.6,96.0,63.9,0.0,Yes,0.56,5101 S GRAHAM ST,911659.0,56228.0,542600.0,,56228.0,2.0,58320.0,2015,SOUTHEAST,1961,1716043.0,-122.2685843,5426.0,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),2,,,0.0
1.0,660802.0,Compliant,,Parking,"Hotel, Parking",30586.0,NonResidential,66.9,1142000755,151.5,102.08,Hotel,Hotel,WA,,98105,SEATTLE,3880806.0,47.65953281,66.3,85.0,149.7,0.0,No,1.04,4242 ROOSEVELT WAY NE,2254751.0,88592.0,1626149.0,30586.0,58006.0,6.0,58006.0,2015,NORTHEAST,2001,3848493.0,-122.3173925,16261.0,WATERTOWN HOTEL,4,,,0.0
1.0,1343046.0,Compliant,,,College/University,0.0,NonResidential,78.3,660001420,158.9,308.6,College/University,College/University,WA,,98121,SEATTLE,9791557.0,47.61839333,90.9,,172.1,0.0,No,2.28,1000 LENORA ST,4582663.0,126593.0,5209084.0,,126593.0,7.0,125000.0,2015,DOWNTOWN,1928,11360926.0,-122.3369292,52091.0,Cornish (Main Campus Center),7,,,0.0
1.0,407010.0,Compliant,,,Automobile Dealership,0.0,NonResidential,20.7,660001725,64.9,9.68,Other,Automobile Dealership,WA,,98101,SEATTLE,1388717.0,47.61490582,20.7,,64.9,0.0,No,0.06,1017 OLIVE WAY,1388775.0,67224.0,0.0,,67224.0,2.0,67224.0,2015,DOWNTOWN,1930,1388717.0,-122.33040102,0.0,SEATTLE HONDA,7,,,0.0
1.0,156133.0,Compliant,4500.0,Parking,"Hotel, Parking, Retail Store, Swimming Pool",30301.0,NonResidential,44.0,660001832,55.7,249.43,Hotel,Hotel,WA,Retail Store,98101,SEATTLE,5159342.0,47.61300278,46.3,,58.1,0.0,No,1.56,1011 PIKE ST,532747.0,158676.0,4626617.0,42000.0,128375.0,8.0,112676.0,2015,EAST,1991,5421759.0,-122.32923126,46266.0,HOMEWOOD SUITES -SEATTLE - Hilton,7,,,0.0
1.0,1689143.0,Compliant,,,Hotel,38281.0,NonResidential,85.5,660002680,183.3,319.73,Hotel,Hotel,WA,,98101,SEATTLE,11026945.0,47.61806905,86.7,20.0,180.9,0.0,Yes,1.72,1800 YALE AVE,5763595.0,171866.0,5263590.0,,133585.0,10.0,128909.0,2015,DOWNTOWN,2001,11178456.0,-122.33005445,52636.0,SPRINGHILL SUITES SEATTLE DOWNTOWN,7,,,0.0
1.0,566538.0,Compliant,,,K-12 School,0.0,SPS-District K-12,49.7,688000090,84.2,244.51,K-12 School,K-12 School,WA,,98112,SEATTLE,6283226.0,47.62309371,64.4,57.0,102.4,0.0,No,1.87,300 20TH AVE E,1933106.0,126351.0,4350200.0,,126351.0,1.0,126351.0,2015,CENTRAL,1955,8131874.0,-122.3053887,43502.0,MEANY MIDDLE SCHOOL (SPS-DISTRICT),3,,,0.0
1.0,667101.0,Compliant,,,Hotel,16200.0,NonResidential,90.5,697000170,194.1,125.57,Hotel,Hotel,WA,,98121,SEATTLE,4341706.0,47.61587049,90.5,60.0,194.1,0.0,No,1.69,2200 5TH AVE,2276244.0,68410.0,2065556.0,,52210.0,5.0,47994.0,2015,DOWNTOWN,1978,4341706.0,-122.34197968,20656.0,Hotel Five,7,,,0.0
1.0,501058.0,Compliant,,,K-12 School,0.0,SPS-District K-12,38.9,752000170,62.6,260.37,K-12 School,K-12 School,WA,,98125,SEATTLE,6387710.0,47.71011498,50.9,80.0,77.2,0.0,Yes,1.58,11031 34TH AVE NE,1709681.0,160645.0,4678100.0,,160645.0,2.0,164229.0,2015,NORTH,1949,8362498.0,-122.29379175,46781.0,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),5,,,0.0
1.0,431579.0,Compliant,,,K-12 School,0.0,SPS-District K-12,26.7,809000005,83.8,10.27,K-12 School,K-12 School,WA,,98109,SEATTLE,1472548.0,47.63303191,30.5,94.0,95.8,0.0,Yes,0.08,201 GARFIELD ST,1472609.0,51582.0,0.0,,51582.0,2.0,55166.0,2015,MAGNOLIA / QUEEN ANNE,1989,1682521.0,-122.35245717,0.0,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),7,,,0.0
1.0,396679.0,Compliant,4307.0,K-12 School,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",0.0,NonResidential,59.2,825049008,104.1,149.39,Small- and Mid-Sized Office,Office,WA,Other - Entertainment/Public Assembly,98103,SEATTLE,3988729.0,47.66391557,66.3,,112.3,0.0,No,1.65,4649 SUNNYSIDE AVE N,1353524.0,87262.0,2635261.0,18153.0,87262.0,3.0,40943.0,2015,LAKE UNION,1906,4470231.0,-122.33172174,26353.0,HOUSE OF GOOD SHEPHERD,4,,,0.0
1.0,957249.0,Compliant,,,Hotel,0.0,NonResidential,90.6,925049117,178.5,243.37,Hotel,Hotel,WA,,98105,SEATTLE,7419765.0,47.66585193,93.8,20.0,181.8,0.0,No,2.8,5036 25TH AVE NE,3266270.0,81871.0,4153630.0,,81871.0,4.0,81871.0,2015,NORTHEAST,1994,7677473.0,-122.29889419,41536.0,SILVER CLOUD INN UNIVERSITY,4,,,0.0
1.0,79930.0,Compliant,,,Self-Storage Facility,0.0,NonResidential,11.7,925049330,34.0,3.71,"Self-Storage Facility
",Self-Storage Facility,WA,,98105,SEATTLE,306721.0,47.66270326,12.2,77.0,34.5,0.0,No,0.02,2746 NE 45TH ST,272732.0,126394.0,34000.0,,126394.0,2.0,26225.0,2015,NORTHEAST,1955,319916.0,-122.29612323,340.0,QFC / SHURGARD MINI STORAGE / LIQUOR STORE,4,,,0.0
7.0,14022240.0,Compliant,,,,0.0,NonResidential,66.9,323049024,210.0,333.54,Distribution Center,,WA,,98118,SEATTLE,47843892.0,47.5106034,64.7,1.0,203.3,0.0,No,0.18,3301 S NORFOLK ST,47845869.0,714095.0,0.0,,714095.0,2.0,,2015,GREATER DUWAMISH,1961,46313516.0,-122.29027588,0.0,SEATTLE WAREHOUSE OFFICE BUILDING,2,,,0.0
1.0,375707.0,Compliant,,,K-12 School,0.0,SPS-District K-12,30.1,369000400,80.3,28.78,K-12 School,K-12 School,WA,,98199,SEATTLE,1655612.0,47.65726207,33.5,91.0,91.0,0.0,No,0.42,4017 26TH AVE W,1281965.0,54986.0,373700.0,,54986.0,2.0,54986.0,2015,MAGNOLIA / QUEEN ANNE,1990,1842702.0,-122.39065097,3737.0,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),7,2016,,0.0
1.0,457772.0,Compliant,,,K-12 School,0.0,SPS-District K-12,34.1,425049022,53.6,258.67,K-12 School,K-12 School,WA,,98115,SEATTLE,6227419.0,47.68245037,45.5,88.0,67.3,0.0,Yes,1.44,3003 NE 75TH ST,1561983.0,175565.0,4665500.0,,175565.0,2.0,182861.0,2015,NORTHEAST,1950,8317888.0,-122.2939354,46655.0,ECKSTEIN MIDDLE (SPS-DISTRICT),4,,,0.0
1.0,1257186.0,Compliant,,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",0.0,NonResidential,63.7,467000429,161.3,123.08,Small- and Mid-Sized Office,Office,WA,,98107,SEATTLE,6043853.0,47.66580963,69.6,57.0,165.9,0.0,No,1.1,5305 SHILSHOLE AVE NW,4289697.0,94900.0,1754334.0,39314.0,94900.0,2.0,55586.0,2015,BALLARD,1961,6605535.0,-122.3860321,17543.0,SALMON BAY CENTER 5305 & 5309,6,,,0.0
1.0,359310.0,Compliant,,Other - Education,"Office, Other - Education",0.0,NonResidential,36.3,570000340,81.6,56.97,Small- and Mid-Sized Office,Office,WA,,98144,SEATTLE,2137686.0,47.58002948,37.2,93.0,84.5,0.0,No,0.98,2524 16TH AVE S,1226016.0,52554.0,911721.0,7849.0,52554.0,2.0,51029.0,2015,GREATER DUWAMISH,1900,2192109.0,-122.31181286,9117.0,EL CENTRO DE LA RAZA,2,,,0.0
1.0,789588.0,Compliant,,,K-12 School,0.0,NonResidential,40.5,625049002,74.6,251.72,K-12 School,K-12 School,WA,,98103,SEATTLE,7080118.0,47.68894837,49.1,95.0,85.8,0.0,No,1.37,8200 WALLINGFORD AVE N,2694187.0,175015.0,4386042.0,,175015.0,3.0,175015.0,2015,NORTHWEST,1954,8596269.0,-122.33616192,43860.0,BLANCHET HIGH SCHOOL,6,,,0.0
1.0,471115.0,Compliant,3859.0,Vocational School,"Office, Self-Storage Facility, Vocational School",0.0,NonResidential,30.5,653000225,79.6,39.87,"Self-Storage Facility
",Self-Storage Facility,WA,Office,98121,SEATTLE,2147062.0,47.61311034,33.7,,82.0,0.0,No,0.47,11 VINE ST,1607511.0,70586.0,539617.0,28197.0,70586.0,3.0,38439.0,2015,DOWNTOWN,1911,2377595.0,-122.35096928,5396.0,MINI STG (OLD SKYWAY LUGGAGE CO),7,,,0.0
1.0,3607318.0,Compliant,,,Hotel,205970.0,NonResidential,44.9,1975700040,121.0,263.85,Hotel,Hotel,WA,,98101,SEATTLE,15660628.0,47.60950466,44.9,68.0,121.0,0.0,No,0.63,1301 6TH AVE,12308680.0,332210.0,3352459.0,,126240.0,24.0,348630.0,2015,DOWNTOWN,1969,15660628.0,-122.3334029,33525.0,HILTON SEATTLE,7,,,0.0
1.0,2700422.0,Compliant,354.0,Retail Store,"Data Center, Office, Retail Store",0.0,NonResidential,54.3,1975700200,170.7,64.23,Large Office,Office,WA,Data Center,98101,SEATTLE,9213841.0,47.61103976,54.3,79.0,170.7,0.0,No,0.15,1513 5TH AVE,9214222.0,168115.0,0.0,65676.0,168115.0,5.0,103501.0,2015,DOWNTOWN,1973,9213841.0,-122.3363484,0.0,5th and Pine,7,2016,,0.0
1.0,1147698.0,Compliant,,Retail Store,"Office, Retail Store",0.0,NonResidential,98.0,1975700380,307.9,27.3,Small- and Mid-Sized Office,Office,WA,,98101,SEATTLE,3915947.0,47.610466,109.4,,343.5,0.0,No,0.18,1518 3RD AVE,3916108.0,59400.0,0.0,4993.0,59400.0,8.0,34947.0,2015,DOWNTOWN,1910,4369220.0,-122.33795929,0.0,GIBRALTAR TOWER,7,,,0.0
1.0,1551526.0,Compliant,5459.0,Restaurant,"Office, Other - Entertainment/Public Assembly, Restaurant",0.0,NonResidential,297.1,1975700525,522.8,583.41,Mixed Use Property,Other - Entertainment/Public Assembly,WA,Office,98101,SEATTLE,15583947.0,47.60883331,316.4,,537.1,0.0,No,10.67,1401 3RD AVE,5294026.0,52549.0,10290141.0,23500.0,52549.0,2.0,23500.0,2015,DOWNTOWN,1926,16598244.0,-122.3374176,102901.0,MANN BUILDING/WILD GINGER/TRIPLE DOOR,7,,,0.0
1.0,1589324.0,Compliant,5000.0,Parking,"Hotel, Parking, Restaurant",10043.0,NonResidential,69.7,1976700010,201.1,77.8,Hotel,Hotel,WA,Restaurant,98101,SEATTLE,6175812.0,47.61229324,73.8,46.0,213.8,0.0,No,0.55,1531 7TH AVE,5422999.0,98634.0,753040.0,10043.0,88591.0,20.0,83591.0,2015,DOWNTOWN,1930,6534220.0,-122.33441925,7530.0,ROOSEVELT HOTEL,7,,,0.0
1.0,13200400.0,Compliant,0.0,Parking,"Hotel, Parking, Swimming Pool",146694.0,NonResidential,85.9,1976700095,187.3,2846.07,Hotel,Hotel,WA,Swimming Pool,98101,SEATTLE,85357952.0,47.61101988,89.3,60.0,191.6,16229832.0,No,2.67,1400 6TH AVE,45041634.0,994212.0,24088353.0,117668.0,847518.0,34.0,994212.0,2015,DOWNTOWN,1982,88771488.0,-122.3335344,240884.0,SHERATON HOTEL,7,,,0.0
1.0,894784.0,Compliant,9604.0,Parking,"Hotel, Parking, Restaurant, Retail Store",0.0,NonResidential,87.8,1977200050,203.3,126.83,Hotel,Hotel,WA,Retail Store,98101,SEATTLE,5040382.0,47.60989093,87.8,99.0,203.3,0.0,Yes,1.6,86 PINE ST,3053131.0,71150.0,1987378.0,13730.0,71150.0,7.0,41340.0,2015,DOWNTOWN,1985,5040382.0,-122.3414255,19874.0,INN AT THE MARKET,7,,,0.0
1.0,382671.0,Compliant,8000.0,Other - Entertainment/Public Assembly,"Hotel, Other - Entertainment/Public Assembly, Retail Store",0.0,NonResidential,41.4,1977201035,65.7,209.92,Hotel,Hotel,WA,Retail Store,98101,SEATTLE,5086863.0,47.61155254,50.8,99.0,75.6,0.0,No,1.66,1926 2ND AVE,1305729.0,122810.0,3781188.0,26450.0,122810.0,7.0,88360.0,2015,DOWNTOWN,1908,6240104.0,-122.3408486,37812.0,MOORE HOTEL & THEATRE,7,,,0.0
1.0,915988.0,Compliant,,,,42546.0,NonResidential,70.6,1991200730,166.6,120.73,Hotel,,WA,,98109,SEATTLE,4988241.0,47.62037281,73.1,86.0,174.3,0.0,No,0.95,618 JOHN ST,3125480.0,113173.0,1862890.0,,70627.0,5.0,,2015,LAKE UNION,1959,5160438.0,-122.3441465,18629.0,QUALITY INN & SUITES - SEATTLE,7,,,0.0
1.0,1051118.0,Compliant,,Restaurant,"Hotel, Restaurant",34735.0,NonResidential,60.8,1991200935,131.7,191.58,Hotel,Hotel,WA,,98109,SEATTLE,6722886.0,47.6203118,62.6,83.0,133.4,0.0,No,1.17,211 DEXTER AVE N,3586563.0,150453.0,3136472.0,3000.0,115718.0,7.0,107547.0,2015,LAKE UNION,2000,6921805.0,-122.3428044,31365.0,HOLIDAY INN - SEATTLE,7,2014,,0.0
1.0,948984.0,Compliant,,Parking,"Hotel, Parking",28200.0,NonResidential,68.0,1991200940,147.8,170.01,Hotel,Hotel,WA,,98109,SEATTLE,6014078.0,47.62021696,69.7,84.0,150.3,0.0,No,1.34,226 AURORA AVE N,3238067.0,116300.0,2776145.0,28300.0,88100.0,6.0,88490.0,2015,LAKE UNION,1997,6169676.0,-122.3432115,27761.0,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,7,,,0.0
1.0,1338290.0,Compliant,,,Hotel,36744.0,NonResidential,44.4,1992200235,108.0,156.59,Hotel,Hotel,WA,,98119,SEATTLE,6915293.0,47.62050588,44.1,81.0,106.8,0.0,No,0.88,206 WESTERN AVE W,4566435.0,155602.0,2349046.0,,118858.0,6.0,155602.0,2015,MAGNOLIA / QUEEN ANNE,1998,6855303.0,-122.3596901,23490.0,HOMEWOOD SUITES HOTEL - SEATTLE,7,,,0.0
1.0,161293.0,Compliant,,,K-12 School,0.0,NonResidential,55.4,2125049015,78.7,139.62,K-12 School,K-12 School,WA,,98112,SEATTLE,3106930.0,47.63445532,72.3,77.0,98.6,0.0,No,2.45,1617 INTERLAKEN DR E,550355.0,56072.0,2556597.0,,56072.0,3.0,56072.0,2015,EAST,1911,4055974.0,-122.3080163,25566.0,SEATTLE HEBREW ACADAMY,3,,,0.0
1.0,703564.0,Compliant,,Parking,"Hotel, Parking",44891.0,NonResidential,67.6,2249000170,135.3,169.49,Hotel,Hotel,WA,,98109,SEATTLE,5276777.0,47.62498256,68.0,94.0,136.5,0.0,No,1.29,601 ROY ST,2400660.0,122942.0,2876216.0,44891.0,78051.0,4.0,78051.0,2015,MAGNOLIA / QUEEN ANNE,1999,5306165.0,-122.3445605,28762.0,COMFORT SUITES SEATTLE CENTER,7,,,0.0
1.0,639274.0,Compliant,,,Office,0.0,NonResidential,63.7,2254501944,149.8,85.51,Small- and Mid-Sized Office,Office,WA,,98122,SEATTLE,3504957.0,47.60841187,71.3,65.0,157.8,0.0,No,1.38,1700 E CHERRY ST,2181293.0,54984.0,1323754.0,,54984.0,2.0,54984.0,2015,CENTRAL,1962,3921971.0,-122.3095441,13238.0,WA DEPT OF SOCIAL & HEALTH SERVICES,3,,,0.0
1.0,3540510.0,Compliant,,Parking,"Parking, Senior Care Community",0.0,NonResidential,153.5,2324039001,246.4,1858.84,Senior Care Community,Senior Care Community,WA,,98126,SEATTLE,45494324.0,47.55837362,170.9,50.0,264.6,0.0,No,8.3,4831 35TH AVE SW,12080722.0,217603.0,33414103.0,0.0,217603.0,5.0,296313.0,2015,SOUTHWEST,1922,50629892.0,-122.378518,334141.0,PROVIDENCE MT ST VINCENT,1,,,0.0
1.0,1699219.0,Compliant,,,Senior Care Community,0.0,NonResidential,175.3,2426039059,313.8,602.0,Senior Care Community,Senior Care Community,WA,,98133,SEATTLE,16371764.0,47.72389349,180.8,1.0,320.7,0.0,No,6.18,13023 GREENWOOD AVE N,5797976.0,93397.0,10574028.0,,93397.0,2.0,93397.0,2015,NORTHWEST,1970,16886622.0,-122.3562998,105740.0,FOSS HOME AND VILLAGE,5,,,0.0
